f 1m 1f 2m 2f jL0201m jL0201f jV0100m jV0100f 
2723.45 1 9.21339e-20 3.41508e-09 -180 5.84387e-05 90 1 179.997
2733.46 1 1.42751e-19 3.39012e-09 180 5.82247e-05 90 1 179.997
2743.47 1 -4.68252e-20 3.36543e-09 180 5.80123e-05 90 1 179.997
2753.48 1 -1.65689e-19 3.34101e-09 180 5.78014e-05 90 1 179.997
2763.49 1 1.22845e-19 3.31685e-09 180 5.75921e-05 90 1 179.997
2773.5 1 1.26637e-19 3.29295e-09 -180 5.73842e-05 90 1 179.997
2783.5 1 -6.93848e-20 3.26931e-09 -180 5.71779e-05 90 1 179.997
2793.51 1 5.80102e-20 3.24593e-09 -180 5.6973e-05 90 1 179.997
2803.52 1 -6.33183e-20 3.22279e-09 -180 5.67696e-05 90 1 179.997
2813.53 1 8.53091e-20 3.1999e-09 180 5.65677e-05 90 1 179.997
2823.54 1 -4.13275e-20 3.17726e-09 -180 5.63672e-05 90 1 179.997
2833.55 1 1.03508e-19 3.15485e-09 180 5.6168e-05 90 1 179.997
2843.56 1 -6.84369e-20 3.13268e-09 180 5.59703e-05 90 1 179.997
2853.57 1 -5.17542e-20 3.11074e-09 -180 5.5774e-05 90 1 179.997
2863.58 1 -1.03698e-19 3.08903e-09 180 5.55791e-05 90 1 179.997
2873.59 1 -1.87301e-19 3.06755e-09 180 5.53855e-05 90 1 179.997
2883.59 1 1.21329e-19 3.04629e-09 -180 5.51932e-05 90 1 179.997
2893.6 1 3.79152e-21 3.02526e-09 -180 5.50023e-05 90 1 179.997
2903.61 1 6.44558e-20 3.00444e-09 -180 5.48127e-05 90 1 179.997
2913.62 1 1.4749e-19 2.98383e-09 180 5.46244e-05 90 1 179.997
2923.63 1 -4.89106e-20 2.96343e-09 180 5.44374e-05 90 1 179.997
2933.64 1 -1.6986e-19 2.94325e-09 180 5.42517e-05 90 1 179.997
2943.65 1 1.85595e-19 2.92327e-09 180 5.40672e-05 90 1 179.997
2953.66 1 -9.7442e-20 2.90349e-09 180 5.3884e-05 90 1 179.997
2963.67 1 -6.99535e-20 2.88391e-09 -180 5.3702e-05 90 1 179.997
2973.68 1 1.5659e-19 2.86453e-09 180 5.35213e-05 90 1 179.997
2983.68 1 1.57348e-20 2.84534e-09 -180 5.33417e-05 90 1 179.997
2993.69 1 -1.02371e-20 2.82635e-09 180 5.31634e-05 90 1 179.997
